time,price
1471874292,11.21
1471877893,11.22
1471881494,11.23
1471885095,11.23
1471888696,11.21
1471892298,11.23
1471895899,11.26
1471899500,11.32
1471903101,11.32
1471906702,11.30
1471910302,11.26
1471913903,11.23
1471917505,11.16
1471921106,11.12
1471924706,11.09
1471928307,11.17
1471931909,11.17
1471935510,11.19
1471939111,11.19
1471942711,11.20
1471946312,11.20
1471949913,11.17
1471953517,11.18
1471957118,11.17
1471960718,11.14
1471964319,11.12
1471967920,11.06
1471971521,11.06
1471975122,11.03
1471978723,11.03
1471982325,11.00
1471985926,10.96
1471989527,11.00
1471993128,10.97
1471996729,10.91
1472000330,10.94
1472003930,10.99
1472007531,10.99
1472011132,11.01
1472014733,11.04
1472018334,11.09
1472021935,11.09
1472025535,11.08
1472029136,11.06
1472032737,11.09
1472036337,11.05
1472039938,11.07
1472043539,11.06
1472047140,11.08
1472050741,11.09
1472054341,11.11
1472057942,11.09
1472061543,11.06
1472065144,11.07
1472068746,11.07
1472072347,11.06
1472075947,11.06
1472079548,11.04
1472083149,11.04
1472086750,11.03
1472090351,11.03
1472093951,11.02
1472097552,11.02
1472101153,11.02
1472104754,11.02
1472108355,11.02
1472111955,11.05
1472115556,11.14
1472119157,11.11
1472122758,11.12
1472126358,11.13
1472129959,11.21
1472133561,11.25
1472137162,11.22
1472140762,11.21
1472144364,11.20
1472147965,11.20
1472151566,11.24
1472155167,11.23
1472158768,11.22
1472162369,11.21
1472165970,11.19
1472169571,11.23
1472173172,11.23
1472176773,11.23
1472180374,11.25
1472183975,11.34
1472187576,11.34
1472191177,11.38
1472194778,11.41
1472198379,11.35
1472201980,11.37
1472205580,11.27
1472209181,11.27
1472212782,11.30
1472216383,11.35
1472219984,11.35
1472223585,11.35
1472227186,11.32
1472230787,11.23
1472234388,11.22
1472237989,11.26
1472241590,11.26
1472245191,11.30
1472248791,11.29
1472252392,11.27
1472255993,11.24
1472259594,11.25
1472263194,11.26
1472266795,11.26
1472270396,11.27
1472273997,11.25
1472277598,11.24
1472281199,11.23
1472284200,11.22
1472287800,11.23
1472291401,11.23
1472295002,11.22
1472298603,11.20
1472302204,11.21
1472305804,11.20
1472309405,11.20
1472313006,11.21
1472316607,11.23
1472320208,11.23
1472323809,11.22
1472327410,11.21
1472331011,11.21
1472334611,11.23
1472338212,11.22
1472341813,11.21
1472345414,11.22
1472349014,11.22
1472352615,11.22
1472356216,11.20
1472359817,11.16
1472363418,11.13
1472367018,11.12
1472370619,11.12
1472374220,11.11
1472377821,11.10
1472381422,11.06
1472385022,11.06
1472388624,11.09
1472392225,11.07
1472395827,11.10
1472399427,11.12
1472403028,11.10
1472406629,11.10
1472410230,11.10
1472413831,11.05
1472417432,11.03
1472421033,11.02
1472424634,11.00
